,Point,station,lp_code,hc_num,dam_num,xs_id,note,channel_present,bed_surface,veg,bank conditions,x,y,z,survey_date,latlon_err,elev_error,gps_xy_err,gps_z_erro,ts_xy_erro,ts_z_error,distance
25,29.0,1,thalweg,,1.0,,top of beaver dam,,,,,2176047.011,639546.8474,1910.694,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,57.3795769035
26,30.0,1,thalweg,,,,bottom of beaver dam,,,,,2176047.466,639546.7916,1910.406,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,57.8379857167
27,47.0,1,thalweg,,,1A,,,,,,2176049.085,639546.5609,1910.282,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,59.4733399566
28,61.0,1,thalweg,,,,,,,,,2176054.817,639544.1993,1909.999,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,65.6727736855
29,62.0,1,thalweg,,,,,,,,,2176061.253,639543.0323,1909.412,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,72.2137204826
30,63.0,1,thalweg,,,,,,,,,2176062.118,639546.3164,1909.574,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,75.6098267546
31,64.0,1,thalweg,,,,,,,,"luc, ruc",2176064.089,639550.053,1909.651,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,79.834400172
32,194.0,2,thalweg,,,1B,,,,,,2176064.209,639550.2941,1909.667,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,80.1037126486
33,65.0,1,thalweg,,,,,,,,"luc, ruc",2176064.387,639554.9854,1909.753,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,84.7983883232
34,66.0,1,thalweg,,,,start of riffle,,,,,2176059.614,639560.8601,1910.148,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,92.3676438408
35,68.0,2,thalweg,,,,,,,,,2176056.357,639566.9847,1910.229,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,99.3044135618
36,185.0,2,thalweg,,,,long pole,,,,,2176050.44,639575.4672,1909.225,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,109.646738989
37,69.0,2,thalweg,,,,,,,,,2176046.335,639573.7235,1909.562,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,114.106729425
38,70.0,2,thalweg,,,,,,,,,2176039.974,639571.2288,1910.056,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,120.939433801
39,71.0,2,thalweg,,,,,,,,,2176032.994,639570.373,1910.036,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,127.971701831
40,101.0,2,thalweg,,,1C,,,,,,2176028.252,639570.414,1909.946,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,132.713879074
41,72.0,2,thalweg,,,,,,,,,2176027.944,639570.8673,1909.937,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,133.261916381
42,73.0,2,thalweg,,,,,,,,,2176015.106,639574.2748,1909.426,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,146.544434976
43,74.0,2,thalweg,,,,,,,,,2176010.001,639579.8989,1909.441,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,154.13992876
44,130.0,2,thalweg,,,1D,,,,,,2176006.285,639581.436,1909.917,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,158.161288282
45,76.0,2,thalweg,,,,,,,,,2176006.734,639583.8006,1909.786,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,160.568139786
46,77.0,2,thalweg,,,,,,,,,2176007.432,639587.104,1909.499,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,163.944477381
47,78.0,2,thalweg,,,,,,,,,2176018.725,639597.7577,1909.886,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,179.469720461
48,79.0,2,thalweg,,,,,,,,,2176021.96,639599.055,1910.004,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,182.955149027
49,80.0,2,thalweg,,,,,,,,,2176030.349,639605.3031,1909.652,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,193.415267316
50,81.0,2,thalweg,,,,,,,,,2176035.805,639611.1341,1909.577,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,201.40078527
51,82.0,2,thalweg,,,,,,,,,2176037.666,639614.7629,1909.581,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,205.478960161
52,83.0,2,thalweg,,,,,,,,,2176041.7,639621.1891,1909.459,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,213.066397307
53,84.0,2,thalweg,,,,,,,,,2176048.371,639628.6741,1909.32,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,223.092735921
54,85.0,2,thalweg,,,,,,,,,2176053.425,639624.6021,1909.3,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,229.58304408
55,86.0,2,thalweg,,,,,,,,,2176055.046,639623.04,1909.857,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,231.834220974
56,87.0,2,thalweg,,,,,,,,,2176058.788,639617.3569,1909.864,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,238.638645242
57,88.0,2,thalweg,,,,"sc, trib",,,,,2176062.194,639616.7398,1909.887,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,242.100097019
58,312.0,3,thalweg,,,,,,,,,2176068.528,639616.1391,1909.909,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,248.462517666
59,170.0,2,thalweg,,,,trib with main channel,,,,,2176070.108,639616.4014,1909.906,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,250.064142245
60,313.0,3,thalweg,,,,,,,,,2176073.525,639615.443,1909.876,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,253.613003972
61,314.0,3,thalweg,,,,,,,,,2176078.012,639614.3765,1909.611,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,258.225009095
62,315.0,3,thalweg,,,,,,,,,2176079.985,639614.3649,1909.062,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,260.198043194
63,316.0,3,thalweg,,,,,,,,,2176084.236,639616.2261,1908.934,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,264.838632213
64,317.0,3,thalweg,,,,,,,"dw, 0.15 m diam",,2176086.761,639618.2606,1909.124,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,268.081287799
65,318.0,3,thalweg,,,,,,,,,2176087.011,639619.7157,1909.067,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,269.557707797
66,319.0,3,thalweg,,,,,,,,,2176087.246,639621.101,1909.241,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,270.962798929
67,320.0,3,thalweg,,,,,,,,,2176088.279,639623.7023,1909.326,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,273.761700623
68,321.0,3,thalweg,,,,,,,,,2176088.902,639626.2555,1909.564,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,276.389810065
69,322.0,3,thalweg,,,,,,,,,2176089.72,639628.9045,1909.599,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,279.162232291
70,323.0,3,thalweg,,,,,,,,,2176090.805,639631.0855,1909.368,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,281.598209713
71,324.0,3,thalweg,,,,,,,,,2176089.878,639633.0772,1909.645,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,283.795070631
72,325.0,3,thalweg,,2.0,,"beaver dam, base",,,,,2176088.929,639636.8109,1909.825,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,287.647487624
73,326.0,3,thalweg,,,,"beaver dam, bottom",,,,,2176088.13,639637.9598,1909.787,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,289.046906149
74,327.0,3,thalweg,,,,,,,,,2176087.108,639641.9136,1909.791,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,293.130656685
75,328.0,3,thalweg,,,,,,,,,2176085.331,639646.1531,1909.718,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,297.727513139
76,329.0,3,thalweg,,,,,,,,,2176083.443,639650.0873,1909.347,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,302.091281423
77,330.0,3,thalweg,,,,,,,,,2176082.825,639652.436,1908.974,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,304.519926249
78,331.0,3,thalweg,,,,,,,,,2176081.994,639654.6292,1908.989,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,306.865280644
79,332.0,3,thalweg,,,,,,,,,2176080.892,639656.3719,1909.189,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,308.927174747
80,333.0,3,thalweg,,,,"sch, edge, prawn",,,,,2176078.267,639656.2868,1908.89,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,311.553553815
81,334.0,3,thalweg,,,,scour hole,,,,,2176077.672,639656.3004,1908.654,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,312.148709223
82,335.0,3,thalweg,,,,,,,,,2176075.387,639656.2309,1909.013,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,314.434765926
83,336.0,3,thalweg,,,,,,,,,2176073.11,639655.6328,1909.578,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,316.789007335
84,337.0,3,thalweg,,,,,,,,,2176070.322,639654.7447,1909.572,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,319.715039736
85,338.0,3,thalweg,,,,,,,,,2176067.647,639654.9175,1909.625,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,322.395615204
86,339.0,3,thalweg,,,,,,,,,2176063.086,639655.6931,1909.754,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,327.022090791
87,340.0,3,thalweg,,,,,,,,,2176058.071,639654.1951,1909.61,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,332.256040447
88,341.0,3,thalweg,,,,,,,,,2176054.691,639651.6297,1909.748,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,336.499350141
89,218.0,3,thalweg,,,2A,,,,,,2176053.315,639650.3083,1909.576,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,338.407090679
90,342.0,3,thalweg,,,,,,,,,2176049.672,639652.0629,1909.705,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,342.450612678
91,343.0,3,thalweg,,,,,,,,,2176045.598,639650.6985,1909.649,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,346.747013888
92,344.0,3,thalweg,,,,,,,,,2176042.842,639649.6352,1909.584,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,349.70101844
93,345.0,3,thalweg,,,,,,,,,2176036.372,639647.623,1908.744,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,356.476699132
94,346.0,3,thalweg,,,,,,,,,2176035.342,639647.5293,1908.842,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,357.510952336
95,347.0,3,thalweg,,,,,,,,,2176031.537,639649.1943,1908.869,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,361.664294364
96,348.0,3,thalweg,,,,,,,,,2176029.124,639654.2239,1909.541,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,367.242774906
97,297.0,3,thalweg,,,2B,,,,,,2176029.047,639654.2121,1909.557,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,367.320673815
98,349.0,3,thalweg,,,,,,,,,2176028.118,639657.1686,1909.555,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,370.419695152
99,350.0,3,thalweg,,,,,,,,,2176026.508,639659.9769,1909.505,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,373.656769277
100,351.0,3,thalweg,,,,,,,,,2176026.489,639663.3565,1909.355,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,377.036422686
101,352.0,3,thalweg,,,,,,,,,2176027.512,639666.6151,1909.621,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,380.451829391
102,274.0,3,thalweg,,,2C,,,,,,2176027.524,639667.0272,1909.724,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,380.864104068
103,353.0,3,thalweg,,,,us of beaver dam,,,,,2176027.537,639667.6865,1909.913,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,381.523532222
104,354.0,3,thalweg,,3.0,,"beaver dam, top",,,,,2176027.691,639668.1933,1910.292,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,382.053213485
105,355.0,3,thalweg,,,,,,,,,2176027.949,639668.8909,1909.537,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,382.796994205
106,356.0,3,thalweg,,,,,,,,,2176029.058,639671.9393,1909.445,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,386.040853567
107,357.0,3,thalweg,,,,,,,,,2176029.176,639677.939,1909.475,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,392.041713846
108,359.0,3,thalweg,,,,,,,,,2176032.424,639687.585,1909.035,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,402.219867903
109,248.0,3,thalweg,,,2D,,,,,,2176032.424,639688.3268,1909.084,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,402.961667903
110,360.0,3,thalweg,,,,,,,,,2176034.104,639689.733,1908.987,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,405.152512133
111,361.0,3,thalweg,,,,,,,,,2176037.649,639692.4185,1909.42,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,409.59986362
112,362.0,3,thalweg,,,,,,,,,2176041.838,639695.4376,1909.415,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,414.763455956
113,363.0,3,thalweg,,,,,,,,,2176045.451,639697.0903,1909.312,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,418.736513505
114,364.0,3,thalweg,,,,,,,,,2176050.136,639696.3256,1909.553,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,423.483511619
115,365.0,3,thalweg,,,,,,,,,2176055.411,639698.1468,1909.435,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,429.064048729
116,366.0,3,thalweg,,,,,,,,,2176059.941,639699.4621,1909.416,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,433.781136188
117,367.0,3,thalweg,,,,,,,,,2176062.971,639700.8449,1909.351,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,437.111757126
118,368.0,3,thalweg,,,,top of riffle,,,,,2176065.101,639701.3731,1909.502,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,439.306271934
119,369.0,3,thalweg,,,,,,,,,2176066.996,639701.4335,1909.396,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,441.202234265
120,370.0,3,thalweg,,,,,,,,,2176070.547,639700.8941,1909.406,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,444.793968297
121,371.0,3,thalweg,,,,,,,,,2176074.1,639699.8834,1909.379,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,448.487925997
122,372.0,3,thalweg,,,,,,,,,2176077.34,639698.9594,1909.326,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,451.857106313
123,373.0,3,thalweg,,,,,,,,,2176080.296,639699.3624,1909.286,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,454.840450913
124,374.0,3,thalweg,,,,,,,,,2176083.036,639699.7979,1909.097,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,457.614844585
125,375.0,3,thalweg,,,,,,,,,2176084.61,639700.3892,1908.866,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,459.296246289
126,376.0,3,thalweg,,,,,,,,,2176086.676,639701.6594,1908.977,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,461.721481131
127,377.0,3,thalweg,,,,,,,,,2176089.375,639702.975,1909.036,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,464.724047427
128,378.0,3,thalweg,,,,,,,,,2176090.493,639705.2379,1909.135,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,467.248060187
129,379.0,3,thalweg,,,,,,,,,2176091.787,639706.87,1909.282,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,469.330891531
130,380.0,3,thalweg,,,,,,,,,2176093.149,639708.4729,1909.376,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,471.434301242
131,381.0,3,thalweg,,,,,,,,,2176093.941,639710.9041,1909.353,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,473.991252051
132,382.0,3,thalweg,,,,,,,,,2176095.117,639712.619,1908.788,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,476.070640906
133,385.0,4,thalweg,,,,,,,,,2176092.879,639717.3715,1908.935,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,481.323725737
134,386.0,4,thalweg,,,,,,,,,2176089.61,639719.8453,1909.373,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,485.42324369
135,387.0,4,thalweg,,,,,,,,,2176089.375,639720.5662,1909.21,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,486.181479675
136,388.0,4,thalweg,,,,,,,,,2176086.902,639722.235,1909.326,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,489.164870773
137,389.0,4,thalweg,,,,,,,,,2176085.449,639722.3872,1909.425,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,490.625820409
138,390.0,4,thalweg,,,,,,,,,2176083.468,639723.7002,1909.336,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,493.002441961
139,391.0,4,thalweg,,,,,,,,,2176081.967,639725.1457,1909.197,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,495.086301661
140,392.0,4,thalweg,,,,,,,,,2176078.417,639727.5475,1909.307,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,499.372458826
141,393.0,4,thalweg,,,,,,,,,2176076.292,639729.2547,1908.511,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,502.098290229
142,394.0,4,thalweg,,,,,,,,,2176072.383,639731.7666,1908.517,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,506.744785963
143,395.0,4,thalweg,,,,,,,,,2176073.712,639735.4901,1908.761,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,510.698353119
144,396.0,4,thalweg,,,,th across channel,,,,,2176076.617,639738.8379,1908.937,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,515.130823067
145,397.0,4,thalweg,,,,th across channel,,,,,2176076.207,639741.1725,1909.082,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,517.501151559
146,398.0,4,thalweg,,,,,,,,,2176082.567,639744.3921,1909.319,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,524.62964538
147,399.0,4,thalweg,,,,,,,,,2176087.6,639745.9818,1908.587,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,529.907735479
148,400.0,4,thalweg,,,,,,,,,2176089.557,639748.3074,1908.585,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,532.947186804
149,401.0,4,thalweg,,,,,,,,,2176087.83,639752.6063,1908.803,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,537.580012099
150,402.0,4,thalweg,,,,,,,,,2176085.374,639754.1261,1909.02,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,540.468217085
151,403.0,4,thalweg,,,,,,,,,2176083.966,639756.2838,1908.909,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,543.044674593
152,404.0,4,thalweg,,,,,,,,,2176085.085,639761.9824,1909.083,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,548.852101128
153,405.0,4,thalweg,,,,,,,,,2176079.859,639765.2005,1908.94,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,554.989465677
154,406.0,4,thalweg,,,,,,,,,2176074.032,639767.1319,1909.018,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,561.128214325
155,407.0,4,thalweg,,,,,,,,,2176072.022,639768.7503,1908.957,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,563.708779875
156,408.0,4,thalweg,,,,,,,,,2176069.13,639770.5603,1909.047,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,567.120489711
157,409.0,4,thalweg,,,,,,,,,2176067.194,639775.6443,1908.702,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,572.560632356
158,410.0,4,thalweg,,,,,,,,,2176068.406,639781.745,1908.798,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,578.780558761
159,411.0,4,thalweg,,,,,,,,,2176069.519,639782.8869,1909.044,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,580.375144792
160,412.0,4,thalweg,,,,,,,,,2176069.54,639783.9029,1908.74,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,581.391361796
161,413.0,4,thalweg,,,,,,,,,2176072.143,639786.2625,1908.693,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,584.904668097
162,414.0,4,thalweg,,,,,,,,,2176075.251,639787.8185,1909.087,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,588.380412621
163,415.0,4,thalweg,,,,,,,,,2176080.224,639785.8008,1909.212,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,593.74714741
164,418.0,5,thalweg,,,,,,,,,2176081.698,639789.0322,1909.128,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,597.298854318
165,419.0,5,thalweg,,,,,,,,,2176085.17,639791.0561,1908.931,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,601.317679421
166,420.0,5,thalweg,,,,,,,,,2176086.502,639794.7637,1909.001,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,605.257288762
167,421.0,5,thalweg,,,,,,,,,2176086.727,639796.3854,1908.643,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,606.894522981
168,422.0,5,thalweg,,,,,,,,,2176085.737,639799.9018,1909.088,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,610.547626998
169,423.0,5,thalweg,,,,,,,,,2176088.665,639807.6232,1909.125,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,618.80554453
170,424.0,5,thalweg,,,,,,,,,2176089.627,639810.0778,1909.006,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,621.441925603
171,425.0,5,thalweg,,,,,,,,,2176087.627,639815.5748,1909.183,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,627.291456268
172,426.0,5,thalweg,,,,,,,,,2176084.141,639819.8203,1908.705,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,632.784767314
173,427.0,5,thalweg,,,,,,,,,2176080.968,639821.7793,1908.434,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,636.513789974
174,428.0,5,thalweg,,,,,,,,,2176077.936,639822.0901,1908.714,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,639.561677872
175,429.0,5,thalweg,,,,,,,,,2176070.94,639818.0214,1908.997,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,647.654782078
176,430.0,5,thalweg,,,,,,,,,2176063.12,639813.1231,1908.951,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,656.882227168
177,431.0,5,thalweg,,,,,,,,,2176056.613,639803.6441,1908.87,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,668.379726462
178,432.0,5,thalweg,,,,,,,,,2176048.74,639803.6202,1908.741,7/25/14 0:00,0.091621687,0.049819675,0.014,0.031,,,676.252762738
